Date,Value
2019-09-14,109822102.177
2019-09-13,111511613.417
2019-09-12,139732951.305
2019-09-11,101916176.189
2019-09-10,100028033.819
2019-09-09,69597116.8147
2019-09-08,171749945.616
2019-09-07,149118822.74
2019-09-06,166945522.698
2019-09-05,208546170.208
2019-09-04,208036461.986
2019-09-03,71269793.6666
2019-09-02,38819697.2759
2019-09-01,76787560.0612
2019-08-31,130161760.03
2019-08-30,219432700.101
2019-08-29,111442603.228
2019-08-28,113549022.672
2019-08-27,192542282.332
2019-08-26,104421827.29
2019-08-25,121887691.104
2019-08-24,114541566.321
2019-08-23,198938074.283
2019-08-22,188429776.932
2019-08-21,157568510.736
2019-08-20,113902562.72
2019-08-19,89166557.7318
2019-08-18,157584000.738
2019-08-17,270096712.215
2019-08-16,340987835.374
2019-08-15,240247582.243
2019-08-14,121684531.858
2019-08-13,92609139.1055
2019-08-12,147505322.232
2019-08-11,182026080.881
2019-08-10,214790937.608
2019-08-09,303701907.069
2019-08-08,347509123.917
2019-08-07,364241710.516
2019-08-06,301226152.584
2019-08-05,126592625.205
2019-08-04,187033131.489
2019-08-03,196484950.488
2019-08-02,161310964.046
2019-08-01,149976691.661
2019-07-31,103416132.905
2019-07-30,129546991.029
2019-07-29,116147506.01
2019-07-28,165655570.347
2019-07-27,129654751.779
2019-07-26,175136259.65
2019-07-25,205475331.647
2019-07-24,218543715.783
2019-07-23,158246160.158
2019-07-22,211153925.86
2019-07-21,217015581.593
2019-07-20,364890381.576
2019-07-19,347373247.254
2019-07-18,442971211.675
2019-07-17,310518594.017
2019-07-16,315838651.149
2019-07-15,228815018.326
2019-07-14,191097122.665
2019-07-13,348062189.991
2019-07-12,506393884.77
2019-07-11,385340090.084
2019-07-10,368689216.878
2019-07-09,175884517.403
2019-07-08,112140189.291
2019-07-07,218118693.206
2019-07-06,248133173.124
2019-07-05,277809846.843
2019-07-04,459134093.879
2019-07-03,416414435.61
2019-07-02,395562170.604
2019-07-01,243289656.814
2019-06-30,377543401.917
2019-06-29,671830661.666
2019-06-28,745764162.983
2019-06-27,535505430.2
2019-06-26,236190825.143
2019-06-25,186349715.231
2019-06-24,222666573.43
2019-06-23,319243691.199
2019-06-22,207501993.988
2019-06-21,112974295.039
2019-06-20,110363234.122
2019-06-19,217442989.874
2019-06-18,239793360.268
2019-06-17,217645416.891
2019-06-16,156602786.057
2019-06-15,133601588.337
2019-06-14,142309243.793
2019-06-13,148906903.392
2019-06-12,123188209.96
2019-06-11,112176516.309
2019-06-10,66372457.3729
2019-06-09,121989497.764
2019-06-08,167159056.353
2019-06-07,142421449.4
2019-06-06,217070579.657
2019-06-05,266327224.827
2019-06-04,116262699.175
2019-06-03,77166523.2066
2019-06-02,138211025.194
2019-06-01,296511084.789
2019-05-31,163904124.14
2019-05-30,150816860.358
2019-05-29,134608368.78
2019-05-28,252057229.626
2019-05-27,70845618.9213
2019-05-26,121597298.825
2019-05-25,154057018.002
2019-05-24,175843690.452
2019-05-23,132606959.473
2019-05-22,186874301.322
2019-05-21,266948150.056
2019-05-20,198826699.76
2019-05-19,255946514.11
2019-05-18,394223024.657
2019-05-17,308713119.443
2019-05-16,323047353.354
2019-05-15,488508804.941
2019-05-14,359671195.077
2019-05-13,440320821.062
2019-05-12,260302316.681
2019-05-11,154686895.25
2019-05-10,122208088.695
2019-05-09,113696957.63
2019-05-08,120723217.583
2019-05-07,71574173.5298
2019-05-06,87101677.3558
2019-05-05,137238637.97
2019-05-04,135084149.804
2019-05-03,57902433.3704
2019-05-02,61960550.8087
2019-05-01,183955725.855
2019-04-30,172423604.692
2019-04-29,121771570.761
2019-04-28,214306649.439
2019-04-27,452840571.942
2019-04-26,259583791.497
2019-04-25,392150133.863
2019-04-24,344001133.065
2019-04-23,223901582.154
2019-04-22,147518832.064
2019-04-21,170823823.448
2019-04-20,194767542.873
2019-04-19,217720493.284
2019-04-18,252996433.283
2019-04-17,226128979.403
2019-04-16,152098922.749
2019-04-15,99618100.6349
2019-04-14,151641330.802
2019-04-13,325282843.698
2019-04-12,418764181.44
2019-04-11,306217427.341
2019-04-10,453298711.193
2019-04-09,522492053.909
2019-04-08,360932335.612
2019-04-07,315324732.73
2019-04-06,410162106.582
2019-04-05,750965920.405
2019-04-04,814493444.226
2019-04-03,594065058.383
2019-04-02,127229651.492
2019-04-01,62794061.5733
2019-03-31,153602469.037
2019-03-30,119321833.215
2019-03-29,105244266.448
2019-03-28,107206312.618
2019-03-27,132110657.641
2019-03-26,66038070.1713
2019-03-25,47548725.9584
2019-03-24,66576609.862
2019-03-23,117118531.914
2019-03-22,162578679.434
2019-03-21,120729951.045
2019-03-20,98011297.1428
2019-03-19,102890934.809
