Date,Value
2019-09-10,2170.21917808
2019-09-09,1629.98305085
2019-09-08,2096.19333333
2019-09-07,2313.48734177
2019-09-06,2135.81818182
2019-09-05,2387.80147059
2019-09-04,2259.94512195
2019-09-03,2196.29530201
2019-09-02,1996.27972028
2019-09-01,2061.41566265
2019-08-31,2182.5
2019-08-30,2101.41818182
2019-08-29,2259.60264901
2019-08-28,2414.6962963
2019-08-27,2322.76642336
2019-08-26,1864.09032258
2019-08-25,1903.00625
2019-08-24,2223.66013072
2019-08-23,2286.90070922
2019-08-22,2270.64705882
2019-08-21,2178.45751634
2019-08-20,2027.44171779
2019-08-19,2193.37301587
2019-08-18,2252.0
2019-08-17,2201.53061224
2019-08-16,2265.24840764
2019-08-15,2368.40131579
2019-08-14,2361.44585987
2019-08-13,2236.43609023
2019-08-12,1786.14379085
2019-08-11,2014.1589404
2019-08-10,2320.57823129
2019-08-09,2367.47183099
2019-08-08,2424.24183007
2019-08-07,2287.8757764
2019-08-06,2371.58041958
2019-08-05,1789.25149701
2019-08-04,1893.57225434
2019-08-03,2068.37869822
2019-08-02,2365.79577465
2019-08-01,2113.08187135
2019-07-31,2312.5
2019-07-30,1985.82738095
2019-07-29,1559.85142857
2019-07-28,1867.71052632
2019-07-27,1925.37349398
2019-07-26,2243.57333333
2019-07-25,2126.53956835
2019-07-24,2240.22377622
2019-07-23,2021.51265823
2019-07-22,1905.59731544
2019-07-21,1824.8700565
2019-07-20,2541.44915254
2019-07-19,2609.46280992
2019-07-18,2442.79699248
2019-07-17,2242.82098765
2019-07-16,2391.17123288
2019-07-15,2091.63448276
2019-07-14,2159.89361702
2019-07-13,2200.60365854
2019-07-12,2525.39534884
2019-07-11,2447.00775194
2019-07-10,2373.94805195
2019-07-09,2129.02247191
2019-07-08,2047.53594771
2019-07-07,1958.84269663
2019-07-06,2002.3968254
2019-07-05,2219.78443114
2019-07-04,2311.36046512
2019-07-03,2363.34810127
2019-07-02,2355.67832168
2019-07-01,2175.86184211
2019-06-30,2049.89655172
2019-06-29,2497.50920245
2019-06-28,2542.6056338
2019-06-27,2421.96363636
2019-06-26,2475.23972603
2019-06-25,2194.02259887
2019-06-24,2099.93370166
2019-06-23,2511.17021277
2019-06-22,2539.40601504
2019-06-21,2292.38194444
2019-06-20,2265.71751412
2019-06-19,2422.34969325
2019-06-18,2414.07518797
2019-06-17,2271.18461538
2019-06-16,2266.80821918
2019-06-15,2156.11242604
2019-06-14,2413.06622517
2019-06-13,2507.35877863
2019-06-12,2380.76223776
2019-06-11,2252.41401274
2019-06-10,2047.05442177
2019-06-09,2373.94354839
2019-06-08,2215.25949367
2019-06-07,2321.82165605
2019-06-06,2330.925
2019-06-05,2433.52597403
