Date,Value
2019-09-09,69898.3049568
2019-09-08,88075.0521808
2019-09-07,260694.718261
2019-09-06,161257.971056
2019-09-05,128396.253203
2019-09-04,140095.370093
2019-09-03,117748.538869
2019-09-02,54896.040339
2019-09-01,55756.6445317
2019-08-31,135365.238709
2019-08-30,175306.64944
2019-08-29,105266.809718
2019-08-28,126896.076968
2019-08-27,126638.966074
2019-08-26,56629.2201356
2019-08-25,58220.4063742
2019-08-24,171986.22336
2019-08-23,94762.6805943
2019-08-22,103447.480764
2019-08-21,112611.755852
2019-08-20,94283.2296508
2019-08-19,90060.9715833
2019-08-18,147722.170433
2019-08-17,100467.814178
2019-08-16,155984.880865
2019-08-15,125627.695634
2019-08-14,145449.020669
2019-08-13,112652.380658
2019-08-12,50318.8114978
2019-08-11,68724.5844303
2019-08-10,120087.609469
2019-08-09,119152.588376
2019-08-08,130510.090204
2019-08-07,154925.434607
2019-08-06,147470.026765
2019-08-05,53557.6063682
2019-08-04,48878.9865943
2019-08-03,121884.475994
2019-08-02,103268.26334
2019-08-01,104838.260343
2019-07-31,133988.049787
2019-07-30,424239.358312
2019-07-29,40009.5698902
2019-07-28,61301.3083717
2019-07-27,101920.143505
2019-07-26,102272.119348
2019-07-25,137282.964788
2019-07-24,93312.203378
2019-07-23,97004.3169278
2019-07-22,64045.9093801
2019-07-21,77087.522771
2019-07-20,202753.129686
2019-07-19,134481.333557
2019-07-18,196983.675947
2019-07-17,149496.105823
2019-07-16,118802.578709
2019-07-15,81640.3920546
2019-07-14,61259.5558316
2019-07-13,134907.955152
2019-07-12,161564.952234
2019-07-11,248447.089416
2019-07-10,140960.690822
2019-07-09,154523.789572
2019-07-08,49905.9680242
2019-07-07,55374.3790608
2019-07-06,105134.319613
2019-07-05,163158.036542
2019-07-04,142887.708978
2019-07-03,176319.881282
2019-07-02,153622.955862
2019-07-01,144047.703638
2019-06-30,114148.837684
2019-06-29,224522.21816
2019-06-28,209050.579551
2019-06-27,227958.326423
2019-06-26,161729.298765
2019-06-25,159637.272124
2019-06-24,109281.686853
2019-06-23,206502.297199
2019-06-22,156106.111032
2019-06-21,127131.754038
2019-06-20,208482.663055
2019-06-19,238369.907291
2019-06-18,319259.305137
2019-06-17,113299.918673
2019-06-16,97992.5875923
2019-06-15,149961.141464
2019-06-14,138997.623398
2019-06-13,144792.976209
2019-06-12,202790.98241
2019-06-11,129024.622647
2019-06-10,54286.775457
2019-06-09,67704.5945938
2019-06-08,136123.074634
2019-06-07,260533.682781
2019-06-06,328802.548385
2019-06-05,278295.765869
2019-06-04,162909.247787
2019-06-03,76088.4673321
2019-06-02,111147.796991
2019-06-01,255734.178769
2019-05-31,150947.618065
2019-05-30,314424.118741
2019-05-29,165832.007598
2019-05-28,144865.241309
2019-05-27,103839.724324
2019-05-26,69823.6197093
2019-05-25,161641.106343
2019-05-24,153844.95296
2019-05-23,142956.331118
2019-05-22,127380.880231
2019-05-21,142535.468274
2019-05-20,97584.1272339
2019-05-19,93123.8880468
2019-05-18,178087.228062
2019-05-17,206026.437448
2019-05-16,195496.693575
2019-05-15,208736.001845
2019-05-14,223342.04829
2019-05-13,140855.288689
2019-05-12,131963.452658
2019-05-11,204047.840673
2019-05-10,205511.935674
2019-05-09,174669.114155
2019-05-08,175723.99852
2019-05-07,136199.635444
2019-05-06,78098.0319287
2019-05-05,83866.2137432
2019-05-04,151960.79504
2019-05-03,137966.257753
2019-05-02,164031.068406
2019-05-01,156900.257425
2019-04-30,167463.583649
2019-04-29,82370.5189984
2019-04-28,85775.8901198
2019-04-27,232443.058178
2019-04-26,151580.232004
2019-04-25,279420.807787
2019-04-24,148633.257342
2019-04-23,137657.158796
2019-04-22,65431.2819684
2019-04-21,69164.1994511
2019-04-20,130513.926509
2019-04-19,130484.520357
2019-04-18,166068.523857
2019-04-17,125921.745238
2019-04-16,156431.601212
2019-04-15,108600.639746
2019-04-14,83354.7054708
2019-04-13,137534.539838
2019-04-12,204494.959498
2019-04-11,161300.119185
2019-04-10,168616.55933
2019-04-09,187016.73696
2019-04-08,87030.0681539
2019-04-07,84479.2895816
2019-04-06,179879.586769
2019-04-05,195949.607253
2019-04-04,226513.91755
2019-04-03,299883.94352
2019-04-02,155231.155426
2019-04-01,103360.075006
2019-03-31,85842.5288839
2019-03-30,199409.589671
2019-03-29,155508.455713
2019-03-28,155981.764017
2019-03-27,151185.478362
2019-03-26,150265.256245
2019-03-25,72726.1813976
2019-03-24,78329.2528428
2019-03-23,133222.382616
2019-03-22,160471.438004
2019-03-21,158145.911564
2019-03-20,152407.380904
2019-03-19,149949.552328
2019-03-18,62899.3195849
2019-03-17,88083.8500405
2019-03-16,140010.350024
2019-03-15,186587.157677
2019-03-14,164536.071168
2019-03-13,163751.783091
2019-03-12,150909.103273
2019-03-11,74879.3464532
2019-03-10,86524.4816747
2019-03-09,162673.278866
2019-03-08,149340.860929
2019-03-07,156186.43605
2019-03-06,144933.864497
2019-03-05,137268.220816
2019-03-04,68527.7384691
2019-03-03,113026.609371
2019-03-02,140717.260232
2019-03-01,245257.361148
2019-02-28,151116.060808
2019-02-27,152382.462594
2019-02-26,208068.252315
2019-02-25,108610.970061
2019-02-24,122875.090341
2019-02-23,151533.531375
2019-02-22,167004.646014
2019-02-21,177807.726849
2019-02-20,184200.091523
2019-02-19,179565.743766
2019-02-18,66470.8409627
2019-02-17,101111.351395
2019-02-16,133247.154484
2019-02-15,127357.841592
2019-02-14,189712.967836
2019-02-13,132905.899852
2019-02-12,141272.885218
2019-02-11,75625.1088123
2019-02-10,80267.9627546
2019-02-09,157613.472713
2019-02-08,141362.212515
2019-02-07,147198.810567
2019-02-06,120869.209779
2019-02-05,103370.698657
2019-02-04,76929.1366887
2019-02-03,91739.3725831
2019-02-02,179022.476275
2019-02-01,167866.063325
2019-01-31,215449.843315
2019-01-30,145326.42441
2019-01-29,174584.695091
2019-01-28,62528.490868
2019-01-27,79156.1272492
2019-01-26,128103.410256
2019-01-25,134363.741626
2019-01-24,148557.61538
