,PRICE,TRD_VOLUME,MINERS_FEE,TRAN_VOL,PRICE_VOL,MINERS_REVENUE,DIFFICULTY,TRAN_BLOCK,HASH_RATE,MONEY_SUPPLY,BCH_PRICE,MARKET_CAP,ma7,14sd
2010-01-01,0.0,0.0,0.0,0.0,,6900.0,1.0,1.0,7.648280055873019e-06,1624700.0,0.0,0.0,,
2010-01-02,0.0,0.0,0.0,100.0,,6600.0,1.0,1.0,7.5275551153439145e-06,1631300.0,0.0,0.0,,
2010-01-03,0.0,0.0,0.0,0.0,,6300.0,1.0,1.0,7.186684695026456e-06,1637600.0,0.0,0.0,,
2010-01-04,0.0,0.0,0.0,20778.0,,9300.0,1.0,1.0,7.3216125697354496e-06,1646900.0,0.0,0.0,,
2010-01-05,0.0,0.0,0.0,0.0,,9050.0,1.0,1.0,7.634077121693121e-06,1655950.0,0.0,0.0,,
2010-01-06,0.0,0.0,0.0,0.0,,9900.0,1.0,1.0,7.825816733121694e-06,1665850.0,0.0,0.0,,
2010-01-07,0.0,0.0,0.0,0.0,,8150.0,1.0,1.0,7.98204900910053e-06,1674000.0,0.0,0.0,0.0,
2010-01-08,0.0,0.0,0.0,0.0,,7700.0,1.0,1.0,8.095672482539684e-06,1681700.0,0.0,0.0,0.0,
2010-01-09,0.0,0.0,0.0,0.0,,7650.0,1.0,1.0,8.244803291428571e-06,1689350.0,0.0,0.0,0.0,
2010-01-10,0.0,0.0,0.0,0.0,,7550.0,1.0,1.0,8.422339968677249e-06,1696900.0,0.0,0.0,0.0,
2010-01-11,0.0,0.0,0.0,0.0,,9500.0,1.0,1.0,8.450745837037037e-06,1706400.0,0.0,0.0,0.0,
2010-01-12,0.0,0.0,0.0,10749.0,,7950.0,1.0,1.0,8.2945135610582e-06,1714350.0,0.0,0.0,0.0,
2010-01-13,0.0,0.0,0.26,6.0,,7950.26,1.0,1.0,8.017556344550264e-06,1722300.0,0.0,0.0,0.0,
2010-01-14,0.0,0.0,0.0,1.0,,8200.0,1.0,1.0,8.024657811640211e-06,1730500.0,0.0,0.0,0.0,0.0
2010-01-15,0.0,0.0,0.0,400.0,,7150.0,1.0,1.0,7.946541673650795e-06,1737650.0,0.0,0.0,0.0,0.0
2010-01-16,0.0,0.0,0.0,201.0,,7050.0,1.0,1.0,7.86132406857143e-06,1744700.0,0.0,0.0,0.0,0.0
2010-01-17,0.0,0.0,0.0,251.0,,6250.0,1.0,1.0,7.676685924232805e-06,1750950.0,0.0,0.0,0.0,0.0
2010-01-18,0.0,0.0,0.0,0.0,,6550.0,1.0,1.0,7.2576993659259266e-06,1757500.0,0.0,0.0,0.0,0.0
2010-01-19,0.0,0.0,0.0,23.0,,6250.0,1.0,1.0,7.0162494848677245e-06,1763750.0,0.0,0.0,0.0,0.0
2010-01-20,0.0,0.0,0.0,0.0,,6200.0,1.0,1.0,6.767698136719576e-06,1769950.0,0.0,0.0,0.0,0.0
2010-01-21,0.0,0.0,0.0,210.0,,7900.0,1.0,1.0,6.7250893341798935e-06,1777850.0,0.0,0.0,0.0,0.0
2010-01-22,0.0,0.0,0.0,200.0,,8750.0,1.0,1.0,6.9523362810582015e-06,1786600.0,0.0,0.0,0.0,0.0
2010-01-23,0.0,0.0,0.0,1.0,,6650.0,1.0,1.0,6.895524544338625e-06,1793250.0,0.0,0.0,0.0,0.0
2010-01-24,0.0,0.0,0.0,54.0,,8000.0,1.0,1.0,7.144075892486772e-06,1801250.0,0.0,0.0,0.0,0.0
2010-01-25,0.0,0.0,0.0,3275.0,,7700.0,1.0,1.0,7.307409635555555e-06,1808950.0,0.0,0.0,0.0,0.0
2010-01-26,0.0,0.0,0.0,725.0,,10550.0,1.0,1.0,7.918135805291005e-06,1819500.0,0.0,0.0,0.0,0.0
2010-01-27,0.0,0.0,0.0,200.0,,9750.0,1.0,1.0,8.422339968677249e-06,1829250.0,0.0,0.0,0.0,0.0
2010-01-28,0.0,0.0,0.0,1850.0,,8200.0,1.0,1.0,8.464948771216933e-06,1837450.0,0.0,0.0,0.0,0.0
2010-01-29,0.0,0.0,0.0,550.0,,8850.0,1.0,1.0,8.479151705396827e-06,1846300.0,0.0,0.0,0.0,0.0
2010-01-30,0.0,0.0,0.0,800.0,,9850.0,1.0,1.0,8.933645599153441e-06,1856150.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,1650.0,,10500.0,1.0,1.0,9.288718953650792e-06,1866650.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,2700.0,,8250.0,1.0,1.0,9.366835091640212e-06,1874900.0,0.0,0.0,0.0,0.0
2010-02-02,0.0,0.0,0.0,0.0,,9200.0,1.0,1.0,9.175095480211639e-06,1884100.0,0.0,0.0,0.0,0.0
2010-02-03,0.0,0.0,0.0,1350.0,,7250.0,1.0,1.0,8.820022125714288e-06,1891350.0,0.0,0.0,0.0,0.0
