,PRICE_1,PRICE_2,PRICE_3,PRICE_4,PRICE_5,PRICE_6,PRICE_7
2010-08-23,-0.44888240099217996,-0.4488825373621468,-0.4488825377127122,-0.44888306321034765,-0.44888306321034765,-0.44888313332344115,-0.4488816609484785
2010-08-24,-0.4488825373621468,-0.4488825377127122,-0.44888306321034765,-0.44888306321034765,-0.44888313332344115,-0.4488816609484785,-0.44888307372731173
2010-08-25,-0.4488825377127122,-0.44888306321034765,-0.44888306321034765,-0.44888313332344115,-0.4488816609484785,-0.44888307372731173,-0.4488830982668944
2010-08-26,-0.44888306321034765,-0.44888306321034765,-0.44888313332344115,-0.4488816609484785,-0.44888307372731173,-0.4488830982668944,-0.4488837993978291
2010-08-27,-0.44888306321034765,-0.44888313332344115,-0.4488816609484785,-0.44888307372731173,-0.4488830982668944,-0.4488837993978291,-0.4488836241150954
2010-08-28,-0.44888313332344115,-0.4488816609484785,-0.44888307372731173,-0.4488830982668944,-0.4488837993978291,-0.4488836241150954,-0.4488843603025767
2010-08-29,-0.4488816609484785,-0.44888307372731173,-0.4488830982668944,-0.4488837993978291,-0.4488836241150954,-0.4488843603025767,-0.4488837993978291
2010-08-30,-0.44888307372731173,-0.4488830982668944,-0.4488837993978291,-0.4488836241150954,-0.4488843603025767,-0.4488837993978291,-0.448883413775815
2010-08-31,-0.4488830982668944,-0.4488837993978291,-0.4488836241150954,-0.4488843603025767,-0.4488837993978291,-0.448883413775815,-0.44888416749156973
2010-09-01,-0.4488837993978291,-0.4488836241150954,-0.4488843603025767,-0.4488837993978291,-0.448883413775815,-0.44888416749156973,-0.4488841114010949
2010-09-02,-0.4488836241150954,-0.4488843603025767,-0.4488837993978291,-0.448883413775815,-0.44888416749156973,-0.4488841114010949,-0.4488839746805627
2010-09-03,-0.4488843603025767,-0.4488837993978291,-0.448883413775815,-0.44888416749156973,-0.4488841114010949,-0.4488839746805627,-0.4488841114010949
2010-09-04,-0.4488837993978291,-0.448883413775815,-0.44888416749156973,-0.4488841114010949,-0.4488839746805627,-0.4488841114010949,-0.4488841149067497
2010-09-05,-0.448883413775815,-0.44888416749156973,-0.4488841114010949,-0.4488839746805627,-0.4488841114010949,-0.4488841149067497,-0.4488830635609132
2010-09-06,-0.44888416749156973,-0.4488841114010949,-0.4488839746805627,-0.4488841114010949,-0.4488841149067497,-0.4488830635609132,-0.4488841114010949
2010-09-07,-0.4488841114010949,-0.4488839746805627,-0.4488841114010949,-0.4488841149067497,-0.4488830635609132,-0.4488841114010949,-0.44888337871926826
2010-09-08,-0.4488839746805627,-0.4488841114010949,-0.4488841149067497,-0.4488830635609132,-0.4488841114010949,-0.44888337871926826,-0.4488445010089433
2010-09-09,-0.4488841114010949,-0.4488841149067497,-0.4488830635609132,-0.4488841114010949,-0.44888337871926826,-0.4488445010089433,-0.4488841499632964
2010-09-10,-0.4488841149067497,-0.4488830635609132,-0.4488841114010949,-0.44888337871926826,-0.4488445010089433,-0.4488841499632964,-0.4488845005287637
2010-09-11,-0.4488830635609132,-0.4488841114010949,-0.44888337871926826,-0.4488445010089433,-0.4488841499632964,-0.4488845005287637,-0.4488845005287637
2010-09-12,-0.4488841114010949,-0.44888337871926826,-0.4488445010089433,-0.4488841499632964,-0.4488845005287637,-0.4488845005287637,-0.4488839049180347
2010-09-13,-0.44888337871926826,-0.4488445010089433,-0.4488841499632964,-0.4488845005287637,-0.4488845005287637,-0.4488839049180347,-0.4488836241150954
2010-09-14,-0.4488445010089433,-0.4488841499632964,-0.4488845005287637,-0.4488845005287637,-0.4488839049180347,-0.4488836241150954,-0.44888365917164214
2010-09-15,-0.4488841499632964,-0.4488845005287637,-0.4488845005287637,-0.4488839049180347,-0.4488836241150954,-0.44888365917164214,-0.4488838344543758
2010-09-16,-0.4488845005287637,-0.4488845005287637,-0.4488839049180347,-0.4488836241150954,-0.44888365917164214,-0.4488838344543758,-0.4488837643412823
2010-09-17,-0.4488845005287637,-0.4488839049180347,-0.4488836241150954,-0.44888365917164214,-0.4488838344543758,-0.4488837643412823,-0.44888383094872114
2010-09-18,-0.4488839049180347,-0.4488836241150954,-0.44888365917164214,-0.4488838344543758,-0.4488837643412823,-0.44888383094872114,-0.4488839746805627
2010-09-19,-0.4488836241150954,-0.44888365917164214,-0.4488838344543758,-0.4488837643412823,-0.44888383094872114,-0.4488839746805627,-0.4488840170989843
2010-09-20,-0.44888365917164214,-0.4488838344543758,-0.4488837643412823,-0.44888383094872114,-0.4488839746805627,-0.4488840170989843,-0.44888404269026333
2010-09-21,-0.4488838344543758,-0.4488837643412823,-0.44888383094872114,-0.4488839746805627,-0.4488840170989843,-0.44888404269026333,-0.44888386600526786
2010-09-22,-0.4488837643412823,-0.44888383094872114,-0.4488839746805627,-0.4488840170989843,-0.44888404269026333,-0.44888386600526786,-0.44888404829931083
2010-09-23,-0.44888383094872114,-0.4488839746805627,-0.4488840170989843,-0.44888404269026333,-0.44888386600526786,-0.44888404829931083,-0.448884142951987
2010-09-24,-0.4488839746805627,-0.4488840170989843,-0.44888404269026333,-0.44888386600526786,-0.44888404829931083,-0.448884142951987,-0.4488841152573151
2010-09-25,-0.4488840170989843,-0.44888404269026333,-0.44888386600526786,-0.44888404829931083,-0.448884142951987,-0.4488841152573151,-0.4488841152573151
2010-09-26,-0.44888404269026333,-0.44888386600526786,-0.44888404829931083,-0.448884142951987,-0.4488841152573151,-0.4488841152573151,-0.44888432524603
2010-09-27,-0.44888386600526786,-0.44888404829931083,-0.448884142951987,-0.4488841152573151,-0.4488841152573151,-0.44888432524603,-0.4488841149067497
2010-09-28,-0.44888404829931083,-0.448884142951987,-0.4488841152573151,-0.4488841152573151,-0.44888432524603,-0.4488841149067497,-0.44888376083562764
2010-09-29,-0.448884142951987,-0.4488841152573151,-0.4488841152573151,-0.44888432524603,-0.4488841149067497,-0.44888376083562764,-0.44888365917164214
2010-09-30,-0.4488841152573151,-0.4488841152573151,-0.44888432524603,-0.4488841149067497,-0.44888376083562764,-0.44888365917164214,-0.44888348388890853
2010-10-01,-0.4488841152573151,-0.44888432524603,-0.4488841149067497,-0.44888376083562764,-0.44888365917164214,-0.44888348388890853,-0.44887500020459953
2010-10-02,-0.44888432524603,-0.4488841149067497,-0.44888376083562764,-0.44888365917164214,-0.44888348388890853,-0.44887500020459953,-0.4488637786039908
2010-10-03,-0.4488841149067497,-0.44888376083562764,-0.44888365917164214,-0.44888348388890853,-0.44887500020459953,-0.4488637786039908,-0.4488637821096455
2010-10-04,-0.44888376083562764,-0.44888365917164214,-0.44888348388890853,-0.44887500020459953,-0.4488637786039908,-0.4488637821096455,-0.44886024139842556
2010-10-05,-0.44888365917164214,-0.44888348388890853,-0.44887500020459953,-0.4488637786039908,-0.4488637821096455,-0.44886024139842556,-0.4488711439844591
2010-10-06,-0.44888348388890853,-0.44887500020459953,-0.4488637786039908,-0.4488637821096455,-0.44886024139842556,-0.4488711439844591,-0.4488725462463283
2010-10-07,-0.44887500020459953,-0.4488637786039908,-0.4488637821096455,-0.44886024139842556,-0.4488711439844591,-0.4488725462463283,-0.44886904059165517
2010-10-08,-0.4488637786039908,-0.4488637821096455,-0.44886024139842556,-0.4488711439844591,-0.4488725462463283,-0.44886904059165517,-0.4488641326751128
2010-10-09,-0.4488637821096455,-0.44886024139842556,-0.4488711439844591,-0.4488725462463283,-0.44886904059165517,-0.4488641326751128,-0.44886763832978593
2010-10-10,-0.44886024139842556,-0.4488711439844591,-0.4488725462463283,-0.44886904059165517,-0.4488641326751128,-0.44886763832978593,-0.4488692158743889
2010-10-11,-0.4488711439844591,-0.4488725462463283,-0.44886904059165517,-0.4488641326751128,-0.44886763832978593,-0.4488692158743889,-0.44886974172258975
